CustomerID,CompanyName,Industry,SubscriptionPlan,MonthlyRevenue,SeatCount,TenureMonths,AvgWeeklyLogins,StorageUsedGB,SupportTicketsRaised,NPS_Score,LastLoginDaysAgo,PaymentMethod,ContractType,Cancelled,AcquisitionChannel,SalesCycleDays,InitialDiscountPct,OnboardingDays,OnboardingSatisfaction,CSM_Assigned,QBRs_Completed,LastQBR_DaysAgo,StrategicMeetings,SuccessPlanStatus,UpsellAttempts,RecentUpsellValue,SupportTier,AvgResponseTimeMins,TicketReopenRate,CSAT_Support,CommunityPosts
1001,Zero One,Technology,Enterprise,500,50,24,125,450.5,2,9,1,Invoice,Annual,0,LinkedIn Ads,45,15,14,9,Yes,4,85,6,On Track,2,1200,Gold,30,0.05,5,12
1002,MediCare Plus,Healthcare,Basic,50,5,3,10,12,5,6,15,Credit Card,Monthly,1,Organic Search,7,0,5,6,No,0,999,0,None,0,0,Bronze,240,0.2,3,0
1003,EduLearn,Education,Standard,150,20,12,45,85.2,1,8,3,Credit Card,Annual,0,Referral,20,5,10,8,Yes,1,120,2,On Track,1,500,Silver,120,0.1,4,3
1004,FinServe,Finance,Enterprise,600,65,36,150,600,0,10,0,Invoice,Annual,0,Partner,60,20,21,10,Yes,6,30,12,On Track,3,2500,Gold,15,0.02,5,8
1005,RetailHub,Retail,Standard,150,15,8,25,40.5,8,4,20,PayPal,Monthly,1,Facebook Ads,10,0,3,4,No,0,999,0,At Risk,1,0,Silver,180,0.35,2,1
1006,LogiTrack,Logistics,Basic,50,3,1,5,2,3,7,5,Credit Card,Monthly,0,Organic Search,5,0,2,7,No,0,999,0,None,0,0,Bronze,300,0.15,4,0
1007,GreenEnergy,Energy,Standard,150,25,18,60,120,2,9,2,Invoice,Annual,0,Cold Email,30,10,15,9,Yes,2,45,3,On Track,2,800,Silver,90,0.05,5,5
1008,BuildIt,Construction,Basic,50,4,5,8,15.5,1,8,4,Credit Card,Monthly,0,Referral,8,0,4,8,No,0,999,0,None,0,0,Bronze,200,0.1,4,1
1009,FoodieApp,Hospitality,Enterprise,550,55,30,140,500,4,7,1,Invoice,Annual,0,LinkedIn Ads,50,15,20,8,Yes,5,60,8,On Track,2,1500,Gold,45,0.08,4,6
1010,LegalEagle,Legal,Standard,200,10,14,30,55,6,5,12,Credit Card,Monthly,1,Webinar,25,5,12,5,No,0,999,1,At Risk,1,0,Silver,150,0.25,2,0
1011,AutoDrive,Automotive,Basic,50,6,2,12,10,0,8,6,PayPal,Monthly,0,Organic Search,6,0,3,7,No,0,999,0,None,0,0,Bronze,220,0.05,4,2
1012,CyberSecure,Technology,Enterprise,700,80,48,200,800,1,10,0,Invoice,Annual,0,Partner,90,25,30,10,Yes,8,15,15,On Track,4,5000,Gold,10,0.01,5,20
1013,HealthFirst,Healthcare,Standard,150,22,15,50,90.5,3,8,3,Credit Card,Annual,0,Referral,22,8,10,8,Yes,1,90,2,On Track,1,400,Silver,100,0.12,4,4
1014,SchoolSync,Education,Basic,50,8,4,15,18,9,2,25,Credit Card,Monthly,1,Facebook Ads,5,0,2,3,No,0,999,0,None,0,0,Bronze,400,0.4,1,0
1015,MoneyWise,Finance,Standard,180,18,20,40,75,2,9,2,Invoice,Annual,0,LinkedIn Ads,35,10,14,9,Yes,3,50,4,On Track,2,1000,Silver,80,0.06,5,7
1016,ShopifyLite,Retail,Basic,50,2,6,4,5,1,7,8,PayPal,Monthly,0,Organic Search,4,0,1,8,No,0,999,0,None,0,0,Bronze,180,0.1,4,1
1017,FastShip,Logistics,Enterprise,500,45,28,110,420,5,6,10,Invoice,Annual,1,Cold Email,40,12,18,6,Yes,4,120,5,At Risk,1,0,Gold,60,0.2,3,2
1018,SolarPower,Energy,Standard,150,30,22,70,150,0,9,1,Invoice,Annual,0,Referral,28,10,12,9,Yes,3,40,5,On Track,2,1200,Silver,95,0.04,5,6
1019,ConstructCo,Construction,Basic,50,5,3,9,12.5,4,5,18,Credit Card,Monthly,1,Facebook Ads,9,0,4,5,No,0,999,0,None,0,0,Bronze,250,0.3,2,0
1020,TravelStay,Hospitality,Standard,160,12,10,35,60,2,8,4,Credit Card,Monthly,0,Webinar,18,5,8,8,Yes,0,999,1,On Track,1,300,Silver,110,0.09,4,3
1021,LawFirmX,Legal,Enterprise,650,40,32,100,350,1,9,2,Invoice,Annual,0,Partner,55,18,25,9,Yes,5,25,10,On Track,3,3000,Gold,20,0.03,5,15
1022,CodeBase,Technology,Basic,50,1,1,2,1,2,6,9,PayPal,Monthly,1,Organic Search,2,0,1,6,No,0,999,0,None,0,0,Bronze,300,0.15,3,0
1023,NurseNow,Healthcare,Standard,150,18,16,42,88,0,10,1,Credit Card,Annual,0,Referral,24,8,11,10,Yes,2,75,3,On Track,1,600,Silver,85,0.02,5,8
1024,UniPortal,Education,Enterprise,450,100,24,250,900,3,8,3,Invoice,Annual,0,Cold Email,50,15,22,8,Yes,4,30,8,On Track,2,2000,Gold,35,0.07,4,9
1025,BankTrust,Finance,Basic,60,5,5,11,20,7,3,22,Credit Card,Monthly,1,Facebook Ads,12,0,5,4,No,0,999,0,At Risk,0,0,Bronze,350,0.25,2,0
1026,MarketPlace,Retail,Standard,150,20,13,48,95,2,8,2,PayPal,Monthly,0,LinkedIn Ads,20,5,10,8,Yes,1,100,2,On Track,1,450,Silver,130,0.08,4,4
1027,MoveIt,Logistics,Basic,50,4,7,10,15,1,7,5,Credit Card,Monthly,0,Organic Search,6,0,3,7,No,0,999,0,None,0,0,Bronze,210,0.1,4,2
1028,PowerGrid,Energy,Enterprise,800,90,50,220,950,0,10,0,Invoice,Annual,0,Partner,75,22,35,10,Yes,9,10,18,On Track,5,6000,Gold,12,0.01,5,25
1029,SkyHigh,Construction,Standard,170,25,19,55,110,4,6,14,Credit Card,Annual,1,Webinar,32,8,16,6,Yes,2,140,3,At Risk,1,0,Silver,140,0.18,3,1
1030,HotelPro,Hospitality,Basic,50,3,2,6,8,3,5,10,Credit Card,Monthly,0,Organic Search,5,0,2,6,No,0,999,0,None,0,0,Bronze,240,0.12,3,0
1031,JustLegal,Legal,Standard,200,15,11,38,70,1,9,3,Invoice,Annual,0,Referral,25,10,12,9,Yes,1,90,2,On Track,1,500,Silver,100,0.05,5,6
1032,DevOpsInc,Technology,Enterprise,600,60,34,160,550,6,4,5,Invoice,Annual,1,LinkedIn Ads,60,15,28,5,Yes,4,110,6,At Risk,2,0,Gold,50,0.22,2,3
1033,CareGiver,Healthcare,Basic,50,6,8,14,22,2,8,6,Credit Card,Monthly,0,Facebook Ads,7,0,3,8,No,0,999,0,None,0,0,Bronze,190,0.08,4,2
1034,LearnFast,Education,Standard,140,28,17,65,130,0,9,1,Credit Card,Annual,0,Referral,28,8,14,9,Yes,2,60,3,On Track,2,900,Silver,90,0.03,5,10
1035,WealthGen,Finance,Basic,60,4,3,8,12,5,3,19,PayPal,Monthly,1,Organic Search,8,0,4,3,No,0,999,0,None,0,0,Bronze,300,0.35,1,0
1036,FashionNova,Retail,Enterprise,500,50,26,130,480,1,10,2,Invoice,Annual,0,Partner,50,20,24,10,Yes,4,45,10,On Track,3,2000,Gold,25,0.02,5,14
1037,TruckLine,Logistics,Standard,160,16,9,32,65,3,7,7,Credit Card,Monthly,0,Cold Email,22,5,10,7,Yes,0,999,1,On Track,1,350,Silver,120,0.1,4,2
1038,WindFarm,Energy,Basic,50,5,4,12,18,1,8,4,Credit Card,Monthly,0,Organic Search,6,0,3,8,No,0,999,0,None,0,0,Bronze,200,0.06,5,1
1039,BuildRight,Construction,Standard,180,22,21,50,100,8,2,28,Invoice,Annual,1,Webinar,35,12,18,4,Yes,2,160,3,At Risk,1,0,Silver,160,0.3,2,2
1040,RestoMgr,Hospitality,Enterprise,550,48,29,120,440,2,9,2,Invoice,Annual,0,LinkedIn Ads,55,18,26,9,Yes,4,35,9,On Track,3,1800,Gold,30,0.04,5,10
1041,CaseFile,Legal,Basic,70,3,2,5,6,4,5,11,Credit Card,Monthly,1,Facebook Ads,9,0,4,5,No,0,999,0,None,0,0,Bronze,260,0.2,3,0
1042,SoftWarez,Technology,Standard,150,35,23,80,180,1,9,1,PayPal,Annual,0,Referral,30,10,15,9,Yes,3,50,5,On Track,2,1100,Silver,85,0.05,5,8
1043,MediSync,Healthcare,Enterprise,700,75,40,190,750,0,10,0,Invoice,Annual,0,Partner,80,25,32,10,Yes,7,20,14,On Track,4,4500,Gold,15,0.01,5,18
1044,ClassRoom,Education,Basic,50,10,5,20,30,3,6,9,Credit Card,Monthly,0,Organic Search,5,0,2,6,No,0,999,0,None,0,0,Bronze,210,0.15,4,1
1045,InvestCo,Finance,Standard,190,14,12,36,68,5,4,16,Credit Card,Monthly,1,LinkedIn Ads,25,5,11,4,Yes,1,100,2,At Risk,1,0,Silver,140,0.28,2,2
1046,SuperMart,Retail,Basic,50,4,6,10,14,2,7,5,PayPal,Monthly,0,Organic Search,6,0,3,7,No,0,999,0,None,0,0,Bronze,190,0.1,4,1
1047,ShipFast,Logistics,Standard,155,18,14,44,82,1,8,3,Credit Card,Annual,0,Cold Email,28,8,13,8,Yes,1,80,2,On Track,1,550,Silver,100,0.07,4,3
1048,EcoWatt,Energy,Enterprise,600,60,35,155,580,2,9,2,Invoice,Annual,0,Partner,65,20,28,9,Yes,5,40,11,On Track,3,2500,Gold,25,0.03,5,12
1049,TowerCranes,Construction,Basic,50,2,1,3,4,0,8,7,Credit Card,Monthly,0,Organic Search,3,0,1,8,No,0,999,0,None,0,0,Bronze,200,0.05,5,0
1050,ResortHub,Hospitality,Standard,165,15,11,33,62,7,3,21,Credit Card,Monthly,1,Webinar,20,5,10,3,Yes,0,999,1,At Risk,1,0,Silver,150,0.32,1,1
